phase,condition,intervention_type,study_design,sponsor_type,enrollment,enrollment_type,status,gender,location,masking,duration
2,2603,6,2,3,0.0,0,1,0,248,1,365.0
4,16760,3,1,6,0.0,0,1,0,2247,1,1430.0
3,14102,0,1,6,42.0,0,0,0,2465,3,699.0
3,11577,6,0,3,2.0,0,1,1,1457,1,730.0
5,16760,6,1,6,332.0,0,1,0,812,2,1003.0
6,5549,6,2,5,31.0,0,1,0,1457,1,1612.0
3,12153,6,2,3,5.0,0,1,0,432,1,1248.0
5,14160,8,1,6,0.0,0,1,1,1614,0,914.0
3,19495,1,1,3,142.0,0,1,0,432,1,1483.0
6,14124,3,1,3,21.0,0,1,0,2465,1,546.0
1,8057,6,1,6,18.0,0,0,2,1726,1,244.0
6,7071,6,1,6,100.0,0,0,0,1621,2,305.0
5,7874,6,1,6,721.0,0,0,0,2465,2,874.0
6,9110,3,2,3,283.0,0,0,0,2465,1,120.0
3,17302,6,1,6,40.0,0,0,0,2465,4,517.0
2,16679,6,0,3,6.0,0,1,1,812,1,273.0
1,2253,6,2,6,113.0,0,0,0,83,1,1439.0
3,4167,6,2,5,210.0,0,0,0,880,1,3744.0
2,4542,6,2,5,0.0,0,1,0,1621,1,1076.9030855527424
3,15418,6,1,6,58.0,0,1,0,2094,4,479.0
6,17812,1,1,3,54.0,0,1,0,2465,4,731.0
1,13246,6,1,3,131.0,0,0,0,2465,0,644.0
2,4545,6,0,3,13.0,0,1,0,2465,1,1076.9030855527424
3,11397,6,1,3,80.0,0,0,0,2465,0,882.0
1,8057,6,1,3,80.0,0,0,0,2407,1,1076.9030855527424
3,19219,6,1,3,45.0,0,0,0,432,0,245.0
6,13607,6,1,6,64.0,0,1,0,2362,2,1930.0
3,9938,6,0,3,0.0,0,1,0,2465,1,883.0
1,7340,6,0,3,50.0,2,1,0,158,1,1076.9030855527424
3,18010,6,1,6,101.0,0,0,0,2247,1,2707.0
1,7191,6,2,6,12.0,0,1,0,1719,1,455.0
0,13972,6,2,6,6.0,0,1,0,1807,1,2275.0
6,9345,0,0,3,8000.0,2,0,2,2465,1,0.0
3,15770,6,2,5,43.0,0,0,0,1457,1,1650.0
1,8057,6,1,3,30.0,0,0,2,2465,1,30.0
3,8011,6,0,3,7.0,0,0,0,2247,1,1155.0
6,13392,6,1,6,17.0,0,1,0,1719,1,590.0
6,9655,6,1,6,118.0,0,0,0,1732,0,151.0
6,14314,6,2,6,13.0,0,1,0,1458,1,1734.0
3,14096,6,1,3,52.0,0,0,0,1614,2,2042.0
6,14481,6,1,6,32.0,0,0,0,1511,0,730.0
5,15945,6,1,3,0.0,0,1,0,83,2,31.0
3,966,6,2,6,29.0,0,0,0,887,1,1826.0
3,15933,6,1,3,78.0,0,0,0,432,0,1076.9030855527424
5,2136,6,1,3,267.0,0,0,0,83,2,752.0
1,3144,6,0,3,6.0,2,1,0,2247,1,1076.9030855527424
3,17132,6,1,5,11.0,0,1,0,1457,2,1491.0
6,8472,6,1,3,40.0,1,1,0,2465,1,1076.9030855527424
2,1029,6,0,3,225.0,0,0,0,1458,1,3357.0
