enrollment,duration,phase_encoded,condition_encoded,intervention_type_encoded,study_design_encoded,sponsor_type_encoded,gender_encoded,location_encoded,masking_encoded,final_status
276.0,2009.0,3,238,6,1,3,0,1179,2,1
53.0,992.4420741902379,1,5511,6,1,3,0,1179,1,1
371.0,1096.0,5,1405,6,1,3,0,1179,1,1
20.0,974.0,3,3424,6,1,6,0,533,1,1
58.0,2130.0,2,3001,6,0,5,1,1077,1,1
507.0,1394.0,5,7172,6,1,3,0,68,2,1
24.0,549.0,1,7355,6,1,3,0,30,2,1
980.0,2160.0,3,7730,6,1,6,0,208,1,1
60.0,731.0,1,3763,1,1,5,0,747,4,1
80.0,1309.0,5,4743,8,1,6,0,1179,2,1
41.0,293.0,3,7467,6,1,3,0,208,0,1
100.0,700.0,6,2509,6,1,6,0,1179,2,1
18.0,61.0,1,3547,6,0,3,2,1179,1,1
46.0,833.0,4,99,6,0,6,0,537,1,1
196.0,866.0,5,1758,6,1,3,0,1179,2,1
12.0,550.0,1,3544,6,1,3,0,881,1,1
20.0,1216.0,6,7474,6,0,6,0,1179,1,1
26.0,411.0,6,961,6,1,6,0,706,1,1
55.0,61.0,5,4240,1,0,3,0,1179,1,1
75.0,357.0,5,3715,1,0,3,0,68,1,1
141.0,1187.0,3,5648,6,1,3,0,288,2,1
459.0,1673.0,5,7145,6,1,3,0,1179,1,1
6.0,31.0,6,2779,6,1,3,0,526,1,1
47.0,0.0,1,3544,6,1,3,0,811,1,1
19.0,829.0,5,3722,6,0,3,0,1179,1,1
275.0,683.0,5,2443,6,1,3,0,1179,0,1
1504.0,578.0,5,2138,6,1,3,1,30,1,1
24.0,184.0,1,6660,6,1,3,1,385,1,1
15.0,1338.0,3,1386,6,1,3,0,1179,1,1
165.0,335.0,5,3755,1,1,3,0,1179,1,1
50.0,609.0,5,2941,6,1,3,0,787,0,1
168.0,1004.0,6,2170,9,0,6,0,841,1,1
40.0,366.0,5,669,6,1,6,2,1179,2,1
77.0,593.0,0,821,6,1,6,0,747,1,1
682.0,77.0,6,7368,6,1,3,0,69,0,1
40.0,181.0,6,2274,6,1,6,0,315,0,1
310.8711580908859,992.4420741902379,6,1506,6,1,3,0,792,0,1
318.0,61.0,1,5985,6,1,3,0,1179,1,1
105.0,276.0,3,3963,6,1,3,0,208,2,1
6.0,669.0,1,5699,6,0,3,0,34,1,1
170.0,122.0,5,2482,6,1,3,0,1179,0,1
753.0,2527.0,6,330,3,1,6,1,792,3,1
36.0,267.0,3,908,6,1,8,0,208,0,1
96.0,1155.0,5,5821,6,1,3,0,385,0,1
41.0,1703.0,1,2183,3,0,3,0,742,1,1
12.0,760.0,3,7474,6,1,6,0,288,0,1
120.0,578.0,3,6705,6,1,6,0,841,0,1
118.0,1246.0,6,6371,3,1,6,0,1179,1,1
56.0,1724.0,3,237,8,1,5,0,1077,1,1
22.0,576.0,3,1659,6,1,3,0,1154,0,1
40.0,1661.0,3,234,6,0,6,0,837,1,1
36.0,334.0,1,3455,6,1,3,2,756,0,1
75.0,365.0,3,6176,6,1,3,0,69,0,1
56.0,489.0,3,5811,3,1,3,0,385,3,1
561.0,980.0,5,7474,6,1,3,0,69,2,1
10.0,2100.0,5,3951,6,1,3,0,1179,0,1
52.0,61.0,1,4005,6,0,3,0,68,1,1
60.0,1280.0,3,7079,6,1,6,1,1179,1,1
80.0,214.0,6,8688,5,1,6,0,268,4,1
12.0,122.0,2,3544,6,0,6,0,1110,0,1
100.0,992.4420741902379,3,5811,6,1,3,0,208,0,1
40.0,184.0,3,6766,6,0,6,1,1179,0,1
18.0,334.0,3,1731,6,1,6,0,509,1,1
65.0,792.0,3,2369,3,1,7,0,1179,3,1
20.0,1339.0,1,8348,1,0,6,0,853,1,1
554.0,1317.0,5,1115,6,1,3,0,69,2,1
60.0,396.0,3,3521,6,0,3,0,30,1,1
102.0,488.0,3,2871,6,1,3,0,1179,2,1
20.0,61.0,1,3590,6,1,3,0,1179,1,1
100.0,992.4420741902379,6,2443,6,1,7,1,754,0,1
1884.0,2038.0,5,849,6,1,5,0,810,4,1
53.0,30.0,1,3544,6,1,3,2,1089,1,1
70.0,549.0,6,6093,6,1,6,1,1179,2,1
856.0,4373.0,3,613,6,1,3,0,30,4,1
120.0,1339.0,6,1209,3,1,3,0,1179,1,1
236.0,1553.0,4,1626,0,1,5,0,1149,3,1
16.0,2008.0,5,7794,6,1,1,0,881,2,1
483.0,3378.0,5,4178,1,1,5,0,30,2,1
74.0,2656.0,2,5041,6,1,3,0,1179,1,1
30.0,1734.0,3,4783,6,0,6,0,385,1,1
62.0,297.0,6,5839,6,1,8,0,1179,2,1
40.0,976.0,5,7969,3,1,6,0,841,1,1
30.0,334.0,6,2390,6,1,6,0,1163,2,1
50.0,266.0,1,5985,6,1,3,0,1179,2,1
307.0,488.0,5,6979,6,1,3,2,30,0,1
233.0,992.4420741902379,3,6979,6,1,3,0,175,0,1
390.0,992.4420741902379,6,2443,6,1,3,0,1179,1,1
55.0,1128.0,3,2401,6,1,6,0,1179,2,1
329.0,2031.0,5,1758,6,1,6,0,1179,1,1
40.0,92.0,5,4042,6,1,6,0,1179,0,1
118.0,555.0,5,4227,6,1,8,1,1179,3,1
42.0,1461.0,6,752,6,1,3,0,1179,1,1
477.0,1425.0,6,890,6,1,3,0,69,4,1
60.0,61.0,6,3155,6,1,3,0,1179,1,1
48.0,213.0,1,2425,6,1,3,2,1179,0,1
363.0,1676.0,4,1559,6,1,6,0,664,3,1
742.0,213.0,5,1266,6,1,3,0,1179,2,1
32.0,123.0,1,3587,6,1,3,0,1077,1,1
142.0,975.0,1,5130,6,1,3,0,1179,1,1
472.0,4073.0,5,4639,6,1,3,0,68,2,1
209.0,760.0,3,1238,6,1,3,1,69,1,1
426.0,2707.0,5,1490,8,1,6,0,1179,1,1
150.0,992.4420741902379,3,5873,6,1,3,0,424,0,1
54.0,1384.0,6,2845,6,1,6,0,30,4,1
66.0,92.0,1,3544,6,0,3,0,208,1,1
734.0,457.0,5,2441,6,1,3,0,30,0,1
36.0,61.0,1,3332,6,1,3,0,1077,1,1
11.0,1372.0,1,1238,6,0,6,1,535,1,1
39.0,396.0,6,8376,6,1,3,0,1179,2,1
621.0,1279.0,3,7235,1,1,3,0,1179,2,1
127.0,1961.0,3,5161,6,1,6,0,1179,0,1
243.0,2223.0,5,5684,6,1,3,0,533,4,1
242.0,1277.0,5,1728,6,1,6,0,448,1,1
50.0,1339.0,0,2962,6,1,6,0,1007,3,1
40.0,123.0,1,3587,6,1,3,2,1179,3,1
90.0,208.0,1,7026,6,1,6,0,587,4,1
143.0,3452.0,3,3418,8,1,6,0,30,1,1
40.0,396.0,6,2390,6,1,3,0,847,3,1
20.0,943.0,6,1116,6,1,6,0,921,0,1
86.0,641.0,6,150,3,1,6,0,1179,1,1
26.0,1707.0,0,6017,6,1,6,1,1179,1,1
2331.0,1919.0,5,1475,0,1,5,0,30,1,1
117.0,626.0,5,592,6,1,3,2,935,0,1
986.0,601.0,5,2453,1,1,3,0,385,2,1
8.0,244.0,6,2779,6,0,3,0,729,1,1
32.0,1816.0,3,6302,6,0,3,2,799,1,1
540.0,365.0,5,3755,1,1,3,0,1179,0,1
390.0,3499.0,4,6067,0,1,5,0,706,1,1
15.0,21.0,1,4063,6,1,3,2,1179,1,1
100.0,187.0,3,4240,1,0,3,0,1179,1,1
31.0,1004.0,1,7062,1,1,5,0,208,1,1
28.0,578.0,6,7474,6,0,3,0,828,1,1
402.0,942.0,5,7176,6,1,3,0,1179,2,1
26.0,1341.0,1,1238,6,0,6,1,1179,1,1
66.0,489.0,3,7514,6,1,3,0,68,4,1
12.0,1584.0,1,272,6,1,6,0,706,0,1
14.0,32.0,1,5897,6,1,5,0,587,4,1
89.0,303.0,3,3077,6,1,3,0,385,2,1
38.0,274.0,1,3592,6,1,3,0,208,1,1
21.0,1645.0,2,2221,9,1,8,0,1173,4,1
425.0,662.0,4,3405,6,1,3,0,146,2,1
24.0,184.0,1,3583,6,1,3,0,841,2,1
28.0,1037.0,1,2220,1,0,6,0,1179,1,1
118.0,1092.0,1,5589,6,0,3,0,1179,1,1
94.0,2384.0,3,3518,6,0,6,0,133,1,1
50.0,92.0,6,2124,6,1,3,0,792,1,1
67.0,4393.0,3,4837,6,1,3,0,1077,1,1
202.0,1489.0,4,1973,0,1,6,0,1149,3,1
858.0,1949.0,5,3222,6,1,7,0,1179,3,1
1064.0,884.0,5,6385,0,1,1,0,30,1,1
978.0,823.0,5,2443,6,1,3,0,68,2,1
394.0,156.0,3,6067,6,1,3,0,1110,0,1
650.0,992.4420741902379,5,5989,6,1,3,1,1179,0,1
97.0,1765.0,2,3780,6,1,3,0,68,1,1
1000.0,303.0,1,108,6,1,3,0,1179,0,1
27.0,457.0,2,8405,6,1,3,0,68,2,1
80.0,3319.0,6,923,6,1,6,0,1131,1,1
334.0,244.0,3,2974,1,1,3,0,1077,0,1
66.0,1521.0,3,6755,0,1,5,1,881,1,1
25.0,182.0,1,1116,6,1,3,0,1179,0,1
688.0,1461.0,5,6134,6,1,3,0,1179,4,1
59.0,2404.0,3,245,6,1,6,0,385,4,1
1245.0,610.0,5,6946,6,1,3,0,1179,0,1
36.0,3099.0,3,1229,0,1,5,0,705,1,1
30.0,549.0,2,7969,0,1,6,0,1179,3,1
781.0,1556.0,6,6945,6,1,3,0,965,1,1
48.0,1430.0,1,519,0,1,5,0,747,3,1
8.0,153.0,1,1936,6,1,5,0,208,2,1
70.0,334.0,5,6007,3,1,6,0,1179,2,1
313.0,1440.0,6,8227,6,1,5,0,68,4,1
202.0,1979.0,5,3432,6,1,4,0,1179,2,1
78.0,5902.0,5,7862,6,0,5,0,30,1,1
333.0,1675.0,6,890,6,1,3,0,1179,0,1
133.0,1096.0,3,8498,6,1,6,0,841,3,1
75.0,1492.0,5,923,3,0,3,0,68,1,1
60.0,128.0,3,577,6,1,3,0,1179,4,1
23.0,1219.0,3,6172,5,1,1,0,881,0,1
39.0,1401.0,1,7763,6,0,3,0,788,1,1
28.0,792.0,6,8375,6,1,3,0,1179,0,1
462.0,62.0,3,7950,6,1,3,0,1179,0,1
19.0,731.0,3,5648,6,0,3,0,1179,1,1
5.0,1195.0,5,7068,9,1,6,0,1179,1,1
192.0,608.0,4,6847,6,1,3,0,26,0,1
502.0,2617.0,6,3621,3,0,3,0,50,1,1
96.0,341.0,6,5807,2,0,6,0,980,1,1
215.0,688.0,5,2664,6,1,3,0,1179,0,1
71.0,1642.0,3,7969,0,1,7,0,841,3,1
28.0,1002.0,1,1415,6,1,3,0,535,1,1
80.0,92.0,2,680,9,1,6,0,1179,0,1
200.0,515.0,6,6551,9,1,6,0,695,3,1
545.0,6430.0,5,4837,1,1,5,0,68,1,1
34.0,61.0,1,3544,6,1,3,2,1179,1,1
45.0,182.0,1,6525,6,1,6,2,1179,4,1
310.8711580908859,365.0,5,3951,6,1,3,0,1179,1,1
14.0,396.0,1,6416,5,1,6,0,706,4,1
32.0,30.0,1,3544,6,1,3,2,1179,1,1
413.0,122.0,5,7500,6,1,3,0,1179,0,1
41.0,1410.0,2,6263,6,1,5,0,706,4,1
71.0,243.0,2,7230,6,1,3,0,659,0,1
151.0,456.0,3,6878,6,1,3,0,1179,1,1
8.0,1946.0,5,7474,6,1,5,0,286,2,1
770.0,395.0,5,1770,6,1,3,0,30,0,1
643.0,426.0,5,1693,6,1,3,0,30,2,1
22.0,992.4420741902379,1,4240,1,0,6,0,705,1,1
832.0,992.4420741902379,4,237,6,1,6,0,1179,1,1
49.0,3379.0,1,1225,9,0,6,0,34,1,1
97.0,1918.0,3,3514,6,0,6,0,788,1,1
30.0,242.0,5,2264,3,1,6,0,1179,3,1
29.0,57.0,1,3544,6,1,3,0,1179,1,1
621.0,2649.0,5,5616,3,1,3,0,1179,1,1
69.0,730.0,3,4306,6,1,3,1,30,2,1
60.0,454.0,5,2435,3,1,6,0,38,3,1
150.0,486.0,5,6664,6,1,3,1,1179,0,1
310.8711580908859,992.4420741902379,5,7567,6,1,3,0,1179,0,1
764.0,639.0,5,2443,6,1,3,0,788,1,1
83.0,1096.0,6,1767,6,1,6,0,1179,1,1
87.0,213.0,3,1801,6,1,3,0,1179,0,1
140.0,992.4420741902379,3,4805,6,1,3,0,1179,1,1
131.0,3562.0,5,5586,6,1,5,0,68,0,1
310.8711580908859,426.0,3,1238,6,1,3,1,1179,1,1
40.0,1187.0,6,2342,5,1,6,0,1179,4,1
59.0,546.0,1,7255,6,1,3,0,1179,1,1
112.0,4719.0,3,221,6,0,6,0,706,1,1
400.0,182.0,3,7385,6,1,3,0,30,3,1
80.0,153.0,3,755,5,1,3,0,1179,2,1
90.0,1808.0,3,548,6,1,5,0,1030,0,1
500.0,915.0,6,2171,6,1,6,0,496,1,1
218.0,913.0,5,1086,1,1,3,0,208,4,1
202.0,1370.0,3,6119,6,1,3,0,30,0,1
25.0,1096.0,3,3727,6,0,6,0,1179,1,1
1000.0,334.0,0,511,7,0,7,0,1179,3,1
182.0,579.0,6,4226,6,1,6,1,1179,0,1
250.0,1369.0,3,324,6,1,6,0,837,4,1
84.0,1040.0,3,1928,3,1,5,0,1030,2,1
89.0,1800.0,4,1096,6,1,5,0,288,4,1
42.0,992.4420741902379,1,3544,6,1,3,2,1179,1,1
30.0,3166.0,3,4669,1,1,5,0,208,1,1
510.0,427.0,3,2401,6,1,3,0,1132,0,1
603.0,305.0,5,7825,6,1,3,0,1179,0,1
45.0,740.0,1,597,6,1,3,0,86,0,1
65.0,2282.0,1,7763,6,1,3,0,208,1,1
100.0,1401.0,6,6391,9,1,6,0,1179,1,1
159.0,3134.0,5,1119,6,1,7,0,175,0,1
25.0,1054.0,5,2425,6,0,3,0,824,1,1
224.0,1835.0,4,5914,6,1,6,0,1007,1,1
500.0,426.0,3,8375,6,1,3,0,30,0,1
127.0,851.0,2,3424,0,1,5,2,1149,3,1
60.0,382.0,6,2851,6,0,3,0,1179,1,1
48.0,1158.0,3,1427,6,1,3,0,706,2,1
69.0,920.0,6,6691,6,1,6,0,1179,2,1
2722.0,4383.0,5,1238,6,1,5,1,30,1,1
140.0,1036.0,6,5985,6,1,7,0,1179,1,1
