enrollment,enrollment_type,duration,phase_encoded,condition_encoded,intervention_type_encoded,study_design_encoded,sponsor_type_encoded,gender_encoded,location_encoded,masking_encoded,final_status
550.0,ACTUAL,222.0,5,9940,6,1,3,1,37,4,1
52.0,ACTUAL,4715.0,3,1409,8,2,6,1,208,1,1
502.0,ACTUAL,427.0,6,157,6,1,3,0,1191,1,1
56.0,ACTUAL,62.0,6,4047,6,1,6,2,307,4,1
75.0,ACTUAL,974.0,6,2079,6,1,7,0,971,0,1
144.0,ACTUAL,1216.0,1,3748,6,2,6,0,1191,1,1
77.0,ACTUAL,2681.0,5,3937,6,0,3,1,388,1,1
71.0,ACTUAL,2014.0,6,3248,6,0,6,0,702,1,1
133.0,ACTUAL,303.0,3,9643,9,1,3,0,1191,2,1
17.0,ACTUAL,320.0,1,2747,6,2,8,0,208,1,1
24.0,ACTUAL,1076.9030855527424,1,4056,6,1,3,0,1191,1,1
24.0,ACTUAL,159.0,1,4056,6,2,3,0,589,1,1
189.0,ACTUAL,700.0,3,1461,6,1,3,1,208,1,1
100.0,ACTUAL,244.0,3,5428,8,1,6,0,681,0,1
60.0,ACTUAL,2100.0,2,8356,6,1,6,0,782,4,1
515.0,ACTUAL,915.0,5,7981,6,1,3,0,37,0,1
227.0,ACTUAL,731.0,6,1511,6,1,3,0,75,0,1
278.0,ACTUAL,1076.9030855527424,3,749,6,1,3,0,1191,0,1
824.0,ACTUAL,210.0,3,7480,1,1,6,0,1191,2,1
160.0,,457.0,3,7092,6,1,3,0,776,0,1
82.0,ACTUAL,2671.0,3,275,1,1,3,0,702,1,1
66.0,ACTUAL,639.0,6,8611,6,1,3,0,615,1,1
118.0,ACTUAL,243.0,6,8599,6,1,3,0,1191,1,1
430.0,ESTIMATED,2495.0,5,5869,10,1,3,0,208,1,1
109.0,ACTUAL,1431.0,6,7869,6,0,6,0,877,1,1
119.0,ACTUAL,92.0,5,2723,6,1,3,0,535,3,1
38.0,ACTUAL,1765.0,1,1969,6,1,5,0,74,1,1
125.0,ACTUAL,1608.0,5,8805,6,1,3,0,74,0,1
22.0,ACTUAL,61.0,5,8530,6,1,3,0,1191,3,1
80.0,ACTUAL,1186.0,3,6229,6,1,6,0,1191,3,1
192.0,,577.0,3,6560,6,1,3,0,778,1,1
200.0,ACTUAL,1186.0,5,1423,3,0,3,0,731,1,1
319.0,ACTUAL,3008.0,5,5289,6,1,3,0,388,1,1
406.0,ACTUAL,1016.0,5,6449,6,1,3,0,74,1,1
26.0,ACTUAL,488.0,6,2151,1,1,6,0,1191,3,1
92.0,ACTUAL,1188.0,3,6854,6,1,5,0,701,4,1
59.0,ACTUAL,549.0,6,939,6,1,6,0,1191,2,1
552.0,ACTUAL,1217.0,6,3172,6,1,3,0,1191,1,1
104.0,ACTUAL,639.0,1,9803,6,1,6,1,208,0,1
204.0,ACTUAL,4597.0,5,1461,6,1,6,1,151,1,1
154.0,ACTUAL,761.0,2,6229,6,1,3,0,804,0,1
258.1383630528429,ESTIMATED,2160.0,3,1764,0,1,5,1,1191,0,1
336.0,ACTUAL,1218.0,3,5700,6,1,3,0,1191,1,1
139.0,ACTUAL,1507.0,1,584,6,2,3,0,399,1,1
30.0,ACTUAL,883.0,1,8882,6,2,3,0,421,1,1
10.0,ACTUAL,456.0,3,2432,6,2,3,0,701,1,1
35.0,ACTUAL,607.0,3,1461,6,2,6,1,1191,1,1
